 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.625	0.625	0.875	0.408514336951	0.47619047619
S1 Pyramidal	0.5	1.0	0.828125	0.590494886114	0.592592592593
CA1 Pyramidal	1.0	0.875	0.84375	0.531871883572	0.56
Oligodendrocyte	0.875	0.875	0.84375	0.531871883572	0.56
Microglia	1.0	1.0	0.828125	0.590494886114	0.592592592593
Endothelial	0.875	0.75	0.859375	0.471559562572	0.521739130435
Astrocyte	1.0	1.0	0.828125	0.590494886114	0.592592592593
Ependymal	0.75	0.875	0.84375	0.531871883572	0.56
Mural	0.625	0.625	0.875	0.408514336951	0.47619047619
Global Evaluations	0.847222222222	0.847222222222	0.847222222222	0.517298727281	0.547988651177
